週,企業ID,業界,区分,フェーズ,現金残高,時価総額,売上,支出,収支,現状シェア,シェア目標,生産目標,生産数,生産キャパ,販売目標,販売数,販売キャパ,事業部施設要求,事業部施設キャパ,人事要求値,人事キャパ,共通施設要求,共通施設キャパ,生産人員,営業人員,開発人員,人事人員,広報人員,経理人員,店舗人員
3,34,pc,npc_maker,GROWTH,2642777333,1075536000,11263875,24147682,-12883807,0.24,0.312,2841,80,804.174657588465,0,35,0.0,568,44,426,1197.0538796164174,8144,162,2,5,2,3,2,2,0
3,35,pc,npc_retail,GROWTH,2704586375,1069848000,306025338,377550991,-71525653,0.03333749220212102,0.4141257505869198,0,0,0.0,1991,213,202.68815056521635,24,44,506,1119.7477306869946,37759,62,0,10,0,3,2,2,2
3,36,pc,npc_retail,GROWTH,2653006023,1069920000,262319752,402555079,-140235327,0.1512635001836814,0.4141257505869198,0,0,0.0,1991,308,265.0113610367815,24,44,666,1090.6789873116247,37761,162,0,4,0,3,2,2,14
3,37,pc,npc_retail,GROWTH,2700916930,1069920000,194390586,339024143,-144633557,0.1469350264797979,0.4141257505869198,0,0,0.0,1991,288,291.8185483305611,24,44,640,1189.9921777532893,37748,62,0,3,0,3,2,2,14
4,16,automotive,npc_maker,GROWTH,2753038568,1126569600,34840795,85443059,-50602264,0.20838052095130238,0.2708946772366931,508,23,1266.6424928851777,0,11,0.0,1881,144,693,1151.37764647874,1860,162,15,2,2,3,2,2,0
4,17,automotive,npc_maker,GROWTH,2757107785,1127174400,43341454,76039985,-32698531,0.1857304643261608,0.24144960362400905,481,18,1207.7222344700117,0,13,0.0,1781,144,640,1164.6191142904759,1775,162,13,2,2,3,2,2,0
4,18,automotive,npc_maker,GROWTH,2759356157,1127260800,31792440,45135364,-13342924,0.1857304643261608,0.24144960362400905,478,15,1050.3951806177263,0,10,0.0,1770,144,560,1110.9620092968469,1766,162,10,2,2,3,2,2,0
4,19,automotive,npc_maker,GROWTH,2766350404,1127433600,29938833,39729218,-9790385,0.19026047565118911,0.24733861834654586,474,12,1022.7973432589555,0,9,0.0,1755,144,506,1179.778076323756,1754,162,8,2,2,3,2,2,0
4,20,automotive,npc_maker,GROWTH,2771168967,1127174400,20105718,42523062,-22417344,0.1857304643261608,0.24144960362400905,482,14,1053.2512576897052,0,6,0.0,1785,144,506,1149.367762367638,1779,162,8,2,2,3,2,2,0
4,21,automotive,npc_maker,GROWTH,2757427445,1127520000,34542277,41707680,-7165403,0.1812004530011325,0.23556058890147225,471,16,1140.1478447963157,0,11,0.0,1744,144,560,1150.73917154993,1744,162,10,2,2,3,2,2,0
4,22,automotive,npc_maker,GROWTH,2761249822,1126656000,30018339,91436902,-61418563,0.19932049830124576,0.2591166477916195,498,26,1150.9528750671755,0,9,0.0,1844,144,800,1044.5460544324803,1828,162,19,2,2,3,2,2,0
4,23,automotive,npc_maker,GROWTH,2769383507,1127347200,16767545,43329215,-26561670,0.19026047565118911,0.24733861834654586,472,15,1091.6316832424873,0,5,0.0,1748,144,533,1180.3162850090043,1747,162,9,2,2,3,2,2,0
4,24,automotive,npc_retail,GROWTH,2728078980,1110931200,89266024,122415764,-33149740,0.03184126984126984,0.4124002981899107,0,0,0.0,415,43,38.80110809863576,25,44,986,1068.7528486507954,7914,262,0,28,0,3,2,2,2
4,25,automotive,npc_retail,GROWTH,2730197175,1111190400,74684452,53606931,21077521,0.03184126984126984,0.4124002981899107,0,0,0.0,415,40,42.016209101564996,25,44,800,1157.3108441298334,7903,262,0,21,0,3,2,2,2
4,26,automotive,npc_retail,GROWTH,2746438673,1110844800,79907014,67351118,12555896,0.03184126984126984,0.4124002981899107,0,0,0.0,415,41,42.48243364476478,25,44,773,1170.1527147122151,7922,262,0,20,0,3,2,2,2
4,27,pc,npc_maker,GROWTH,2499779561,1139443200,11989040,22123066,-10134026,0.1984216459977452,0.25794813979706877,2504,80,774.9979932766562,0,40,0.0,500,44,453,1149.2365679767909,7211,162,2,6,2,3,2,2,0
4,28,pc,npc_maker,GROWTH,2498153555,1139702400,11142968,24119988,-12977020,0.18940248027057496,0.24622322435174746,2186,80,802.4027236971631,0,38,0.0,437,44,506,1189.8747613760215,6330,162,2,8,2,3,2,2,0
4,29,pc,npc_maker,GROWTH,2499002620,1139529600,12568386,22393837,-9825451,0.18940248027057496,0.24622322435174746,2438,80,785.7078810438715,0,41,0.0,487,44,453,1165.1181505973761,7028,162,2,6,2,3,2,2,0
4,30,pc,npc_maker,GROWTH,2501323423,1139529600,12857208,22286145,-9428937,0.18940248027057496,0.24622322435174746,2347,80,806.6244127182439,0,42,0.0,469,44,400,1196.1350606848487,6776,162,2,4,2,3,2,2,0
4,31,pc,npc_maker,GROWTH,2496246746,1139616000,11412375,25012294,-13599919,0.1939120631341601,0.2520856820744081,2309,81,787.3797490100353,0,39,0.0,461,44,506,1167.597346440737,6670,162,2,8,2,3,2,2,0
4,32,pc,npc_maker,GROWTH,2493908367,1139702400,10235664,23427680,-13192016,0.1939120631341601,0.2520856820744081,2372,80,796.5493294156475,0,36,0.0,474,44,586,1181.1948230878427,6845,162,2,11,2,3,2,2,0
4,33,pc,npc_maker,GROWTH,2497307671,1139529600,13970982,24387679,-10416697,0.1939120631341601,0.2520856820744081,2471,80,781.9208051357222,0,46,0.0,494,44,506,1159.5023346119076,7119,162,2,8,2,3,2,2,0
4,34,pc,npc_maker,GROWTH,2497754660,1139702400,12415374,25904602,-13489228,0.17587373167981962,0.2286358511837655,2184,80,775.6297233213179,0,41,0.0,436,44,533,1150.1733539745783,6324,162,2,9,2,3,2,2,0
4,35,pc,npc_retail,STABLE,2497831404,1129334400,200675323,309519432,-108844109,0.18348750783986403,0.27493353212660715,0,0,0.0,1445,234,290.16171469131496,18,44,906,1153.8537291907544,27431,162,0,10,0,3,2,2,17
