週,企業ID,企業名,フェーズ,売上高,費用計,収支,現金残高,借入残高,在庫数,B2B販売数,B2C販売数,生産指示数,生産完了数,開発指示数,開発完了数,採用数,施設規模,人件費,施設費
16,3,Jupiter Group,GROWTH,97497840,92132291,5365549,1844273085,0,18,30,0,13,13,0,0,0,1210,21772291,18760000
16,4,Prime Cars,GROWTH,319745591,105327082,214418509,3726948585,0,221,113,0,61,61,0,0,1,7340,62547641,114720000
16,5,Eco Automotive,GROWTH,0,90276910,-90276910,1381827613,0,44,0,0,21,21,0,0,1,1310,15556910,20520000
16,6,Galaxy Mobility,GROWTH,95205594,135126132,-39920538,1842645168,0,53,33,0,24,24,0,0,2,2450,31126132,38200000
16,7,Omega Ltd.,GROWTH,46668336,110867678,-64199342,1809342289,0,120,16,0,18,18,0,0,0,2010,20627678,31640000
16,8,Horizon Corporation,GROWTH,107977077,82406509,25570568,1896511259,0,136,39,0,41,41,0,0,1,3780,37267658,58880000
16,9,Future Motors,GROWTH,334202195,83827362,250374833,3078484667,0,100,107,0,48,48,0,0,5,4870,57464575,75880000
16,10,モータースショップ,GROWTH,385999818,12836297,373163521,2218893494,0,561,0,113,0,0,0,0,2,1080,27556903,31635000
16,11,ファミリーアベニュー,GROWTH,662470548,503263883,159206665,2135538075,0,534,0,195,0,0,0,0,4,1085,18818445,28340000
16,12,カーショップディーラー,GROWTH,871294334,624053190,247241144,1954177083,0,656,0,259,0,0,0,0,1,1080,15433832,30340000
17,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
17,2,Galaxy Motors,GROWTH,0,91298446,-91298446,1642320452,0,31,0,0,11,11,0,0,1,1740,16898446,27200000
17,3,Jupiter Group,GROWTH,0,83523062,-83523062,1760750023,0,26,0,0,8,8,0,0,5,1210,19163062,18760000
17,4,Prime Cars,GROWTH,298848888,96667912,202180976,3556434703,0,170,104,0,53,53,0,0,5,7340,54695341,114720000
17,5,Eco Automotive,GROWTH,67457390,81729219,-14271829,1367555784,0,38,23,0,17,17,0,0,2,1310,13809219,20520000
17,6,Galaxy Mobility,GROWTH,102741275,132329210,-29587935,1813057233,0,42,35,0,24,24,0,0,1,2450,29329210,38200000
17,7,Omega Ltd.,GROWTH,102286310,107178450,-4892140,1804450149,0,104,35,0,19,19,0,0,0,2010,16738450,31640000
17,8,Horizon Corporation,GROWTH,375063454,153529209,221534245,2118045504,0,28,134,0,26,26,0,0,1,3780,26449209,58880000
